,type,Province,Year,Schools,Classes,TeachStaff_Total,TeachStaff_Female,NonTeachStaff_Total,NonTeachStaff_Female,Grade_1_Enrollment_Total,Grade_1_Enrollment_Girl,Grade_1_Repeaters_Total,Grade_1_Repeaters_Girl,Grade_2_Enrollment_Total,Grade_2_Enrollment_Girl,Grade_2_Repeaters_Total,Grade_2_Repeaters_Girl,Grade_3_Enrollment_Total,Grade_3_Enrollment_Girl,Grade_3_Repeaters_Total,Grade_3_Repeaters_Girl,Grade_4_Enrollment_Total,Grade_4_Enrollment_Girl,Grade_4_Repeaters_Total,Grade_4_Repeaters_Girl,Grade_5_Enrollment_Total,Grade_5_Enrollment_Girl,Grade_5_Repeaters_Total,Grade_5_Repeaters_Girl,Grade_6_Enrollment_Total,Grade_6_Enrollment_Girl,Grade_6_Repeaters_Total,Grade_6_Repeaters_Girl,Grade_7_Enrollment_Total,Grade_7_Enrollment_Girl,Grade_7_Repeaters_Total,Grade_7_Repeaters_Girl,Grade_8_Enrollment_Total,Grade_8_Enrollment_Girl,Grade_8_Repeaters_Total,Grade_8_Repeaters_Girl,Grade_9_Enrollment_Total,Grade_9_Enrollment_Girl,Grade_9_Repeaters_Total,Grade_9_Repeaters_Girl,Grade_10_Enrollment_Total,Grade_10_Enrollment_Girl,Grade_10_Repeaters_Total,Grade_10_Repeaters_Girl,Grade_11_Enrollment_Total,Grade_11_Enrollment_Girl,Grade_11_Repeaters_Total,Grade_11_Repeaters_Girl,Grade_12_Enrollment_Total,Grade_12_Enrollment_Girl,Grade_12_Repeaters_Total,Grade_12_Repeaters_Girl,Total_Enrollment_Total,Total_Enrollment_Girl,Total_Repeaters_Total,Total_Repeaters_Girl,T_Primary,T_LSec,T_USec,T_Graduate,T_PostGrad,T_PhD,Grade_1_Dropout,Grade_2_Dropout,Grade_3_Dropout,Grade_4_Dropout,Grade_5_Dropout,Grade_6_Dropout,Grade_7_Dropout,Grade_8_Dropout,Grade_9_Dropout,Grade_10_Dropout,Grade_11_Dropout,Grade_12_Dropout
20,public,Siemreap,2018,1067,6918,5950,3699,1446,536,32220,14885,4385,1716,29187,13598,2829,941,28401,13505,2103,725,27324,13414,1240,399,25247,12615,850,254,22273,11398,570,168,19678,10277,881,273,15831,8640,430,143,13503,7530,538,198,10187,5884,224,89,9130,4858,87,37,6929,3866,220,93,239910,120470,14357,5036,69,626,3786,1350,112,1,3.4,5.7,4.5,1.5,5.0,8.7,15.4,10.9,13.6,4.2,6.1,24.0
21,public,Stung Treng,2018,218,1359,1217,657,169,58,5846,2749,1178,546,5258,2515,706,307,4680,2268,401,156,4013,2039,241,92,3351,1704,133,56,2659,1373,63,26,1934,1041,14,3,1528,812,5,3,1257,637,14,4,966,489,3,2,678,342,0,0,589,289,6,3,32759,16258,2764,1198,59,342,769,82,2,0,4.6,6.7,10.0,7.2,13.7,22.6,18.4,11.7,12.3,5.0,4.9,5.3
22,public,Svay Rieng,2018,508,3344,3688,1394,929,208,12872,6032,1018,394,12059,5714,695,227,12060,5760,506,180,12503,6112,371,116,11721,5798,236,83,10903,5408,174,50,9820,5035,240,67,8195,4181,150,35,7207,3738,204,55,5218,2670,28,7,4282,2241,19,6,3481,1665,67,33,110321,54354,3708,1253,52,431,2231,939,35,0,1.6,1.0,2.2,2.8,2.6,2.1,20.5,14.7,17.7,16.1,9.2,21.9
23,public,Takeo,2018,782,5777,6485,2627,1696,391,20323,9360,2115,746,19466,9058,1621,589,19920,9365,1317,492,20295,9752,1062,339,19633,9600,805,277,18712,9182,626,186,16899,8385,434,123,15422,7779,330,93,14383,7268,382,84,11365,5870,144,44,9268,4769,114,35,8447,4300,457,197,194133,94688,9407,3205,58,846,3671,1847,63,0,1.1,1.4,2.3,2.3,2.6,4.5,11.5,12.2,16.2,14.6,9.9,41.8
24,public,Tbaung Khmum,2018,703,4642,3757,2023,712,223,23060,10796,2205,857,20891,9916,1575,613,19762,9305,1233,474,19061,9314,893,350,17423,8565,563,206,15389,7959,402,144,12509,6404,402,141,9786,5301,178,53,7855,4200,278,84,5362,2858,57,15,4203,2386,30,11,3448,1872,150,70,158749,78876,7966,3018,46,660,2495,532,23,1,5.2,5.3,6.2,6.3,7.3,7.9,21.6,17.1,23.6,17.1,9.0,25.9
25,public,Banteay Meanchey,2019,818,4667,4834,2516,894,216,17988,8373,1152,404,17401,8344,817,297,16217,7788,582,194,15983,7716,478,123,15414,7546,265,73,14154,7083,175,69,11717,6067,239,72,8784,4791,159,47,7519,4073,268,87,5330,3095,38,11,4249,2467,15,5,3835,2065,104,45,138591,69408,4292,1427,74,769,2722,1192,77,0,3.1,2.1,2.3,4.8,1.2,7.0,15.1,12.4,17.2,12.2,7.4,44.8
26,public,Battambang,2019,1147,7694,6851,4128,1686,632,33046,15345,3796,1456,31067,14568,2384,848,28768,13600,1627,575,26888,12831,1087,359,25739,12525,711,244,23916,11971,528,174,19280,9967,573,164,14309,7722,271,87,11640,6378,388,123,8882,4960,109,26,6769,3806,34,16,5926,3336,175,85,236230,117009,11683,4157,147,1038,2980,2524,159,1,6.1,5.2,5.1,4.1,5.9,22.0,16.9,15.4,22.8,14.7,8.1,35.1
27,public,Kampong Cham,2019,816,5905,5779,3352,1743,684,26288,12138,3545,1349,25135,11639,2486,907,23789,11102,2079,694,22806,10820,1489,498,21546,10550,1192,374,19674,9942,730,231,17067,9006,677,235,13633,7373,368,117,11497,6397,401,154,9287,5250,147,54,7425,4336,51,19,6792,3875,195,83,204939,102428,13360,4715,215,1491,2716,1291,63,3,3.9,4.3,2.5,3.8,5.3,27.8,13.1,15.1,37.2,14.2,7.0,27.4
28,public,Kampong Chhnang,2019,469,3204,3567,1727,675,175,13231,6275,1400,547,12648,5957,975,346,12148,5808,797,228,12134,5868,609,190,11856,5951,355,121,11199,5713,186,61,9658,5096,255,64,7847,4350,118,31,6784,3701,131,28,4914,2831,25,4,4161,2335,13,6,3668,2055,96,45,110248,55940,4960,1671,38,624,1764,1090,51,0,0.9,1.2,1.9,4.0,3.5,10.4,10.9,13.6,19.1,16.7,12.0,28.8
29,public,Kampong Speu,2019,619,4144,4390,1939,793,142,19117,8962,1684,660,17986,8575,1112,436,17956,8494,959,336,17883,8522,694,253,18220,9035,465,155,17229,8755,398,172,14491,7547,262,75,10687,5646,166,48,9001,4707,279,74,6155,3323,14,2,5095,2711,12,1,4436,2334,56,28,158256,78611,6101,2240,154,906,1931,1318,79,2,2.6,1.0,3.2,3.6,2.4,25.6,16.1,21.6,39.1,16.0,9.8,23.7
30,public,Kampong Thom,2019,789,4575,4398,2444,774,192,19773,9216,2616,1015,18319,8843,1639,611,16909,8026,1219,413,16155,7942,766,266,14705,7437,485,145,13996,7267,377,120,12392,6555,508,189,9864,5552,211,68,8255,4458,318,104,6107,3449,53,13,4812,2699,39,11,4482,2574,55,24,145769,74018,8286,2979,158,721,2165,1277,75,2,2.7,1.6,2.2,4.6,4.7,29.1,16.0,15.1,30.4,19.3,8.6,30.8
31,public,Kampot,2019,611,3862,4802,2378,944,199,14156,6391,1338,483,13167,6227,827,274,12619,5948,601,200,12556,5954,417,123,12407,6005,380,130,11756,5896,264,73,10768,5534,323,89,8432,4392,172,36,7854,4126,306,80,5840,3138,108,38,5219,2737,48,21,4695,2469,89,37,119469,58817,4873,1584,65,872,2517,1286,62,0,1.1,2.5,3.3,3.1,3.9,21.6,14.9,17.3,23.1,14.6,8.9,16.1
32,public,Kandal,2019,752,6609,7298,4050,1461,391,29507,13637,3727,1448,27771,13182,2625,896,26276,12069,2166,739,26024,12137,1759,558,25763,12351,1334,440,24273,11964,839,247,20343,10462,667,176,15866,8346,273,92,13734,7316,372,116,11109,6207,122,47,9249,5261,72,19,8285,4536,265,118,238200,117468,14221,4896,277,1554,2988,2337,141,1,1.0,2.1,1.1,2.9,2.5,2.6,12.3,12.2,10.9,13.4,11.2,17.0
33,public,Kep,2019,50,276,456,239,93,20,1136,527,138,56,936,455,94,30,885,425,88,30,823,389,94,24,721,395,38,5,658,330,27,4,601,302,39,6,445,236,16,3,422,223,19,10,372,182,7,3,328,176,2,0,345,185,7,2,7672,3825,569,173,1,62,230,157,6,0,,,,,4.1,14.1,23.2,14.3,20.0,8.2,7.6,7.8
34,public,Koh Kong,2019,219,1101,1097,503,162,41,3266,1524,305,123,2980,1379,211,74,2747,1294,126,47,2609,1207,86,29,2428,1204,45,9,2365,1277,35,12,2074,1059,13,5,1634,839,11,2,1420,730,39,11,1014,523,5,1,906,468,3,0,741,331,15,10,24184,11835,894,323,17,185,734,159,2,0,7.6,7.2,5.7,5.3,,16.6,14.9,9.8,22.0,1.9,8.5,64.1
35,public,Kratie,2019,441,2781,2577,1623,372,132,13347,6067,1858,735,12119,5754,1168,436,11126,5180,854,319,9807,4759,515,195,9111,4668,353,105,7753,4021,200,83,5624,2926,107,31,4184,2260,54,16,3299,1813,93,32,2346,1278,28,5,1969,1114,18,6,1893,1035,44,12,82578,40875,5292,1975,48,676,1596,248,8,0,10.0,8.3,9.3,8.6,9.1,14.4,20.0,20.9,22.7,13.7,8.6,18.8
36,public,Mondul Kiri,2019,127,801,839,408,53,11,3055,1501,180,89,2881,1441,120,50,2469,1164,95,38,2441,1257,76,27,2055,1015,41,9,1722,907,26,13,1340,691,49,14,1085,581,30,13,931,498,86,26,604,334,1,0,491,266,0,0,453,251,0,0,19527,9906,704,279,32,251,484,72,0,0,5.9,5.5,8.7,6.3,12.1,8.2,15.5,14.8,12.3,11.3,4.9,5.5
37,public,Otdar Meanchey,2019,359,1957,1561,721,318,73,7847,3603,1072,411,6670,3049,625,222,6314,2983,532,187,5922,2865,328,105,5523,2723,219,76,4909,2496,182,64,4196,2212,180,53,3135,1580,75,21,2636,1350,194,64,1879,983,44,12,1475,805,21,3,1261,662,23,9,51767,25311,3495,1227,104,319,902,225,11,0,8.1,3.9,6.3,5.8,6.9,32.8,15.8,16.3,27.9,13.3,9.8,13.4
38,public,Pailin,2019,81,512,636,341,81,22,2055,961,191,70,1979,928,144,49,1789,840,112,49,1631,753,51,12,1583,794,59,10,1451,714,12,1,1413,746,54,14,1085,587,18,4,930,469,76,31,593,325,13,3,499,280,1,0,416,225,14,11,15424,7622,745,254,19,43,408,163,3,0,4.9,0.2,3.3,3.6,5.1,6.4,18.1,13.5,14.0,18.2,10.5,38.0
39,public,Phnom Penh,2019,374,5501,9445,5506,1133,439,24321,11365,1549,556,24416,11502,1054,343,22491,10689,753,257,21335,10002,675,212,23256,11197,467,145,22231,11039,295,89,20286,10198,633,229,16240,8165,342,124,16108,8023,547,179,13391,6905,113,40,12367,6446,86,31,12265,6146,580,219,228707,111677,7094,2424,324,1785,3613,3202,420,5,0.3,,,0.5,1.0,16.3,7.1,1.6,33.4,,,44.0
40,public,Preah Sihanouk,2019,157,1200,1570,781,232,75,5217,2573,334,136,4694,2215,248,86,4538,2153,215,71,4098,1975,134,46,4186,2163,81,26,3955,1973,93,20,3475,1681,196,40,2517,1342,61,27,2204,1103,131,40,1595,868,16,7,1206,662,3,1,1334,678,205,106,39019,19386,1717,606,14,194,1003,344,15,0,5.9,1.7,2.9,6.0,0.9,75.5,21.2,14.2,83.4,11.8,23.0,7.8
