Province,,Schools,Classes,Enrollment_Total,Enrollment_Girl,TeachStaff_Total,TeachStaff_Female,NonTeachStaff_Total,NonTeachStaff_Female,Govern_Staff,Foreigner_Staff_Total,Foreigner_Staff_Female,Buildings,Rooms,Classrooms,Grade_1_Enrollment_Total,Grade_1_Enrollment_Girl,Grade_1_Repeaters_Total,Grade_1_Repeaters_Girl,Grade_2_Enrollment_Total,Grade_2_Enrollment_Girl,Grade_2_Repeaters_Total,Grade_2_Repeaters_Girl,Grade_3_Enrollment_Total,Grade_3_Enrollment_Girl,Grade_3_Repeaters_Total,Grade_3_Repeaters_Girl,Grade_4_Enrollment_Total,Grade_4_Enrollment_Girl,Grade_4_Repeaters_Total,Grade_4_Repeaters_Girl,Grade_5_Enrollment_Total,Grade_5_Enrollment_Girl,Grade_5_Repeaters_Total,Grade_5_Repeaters_Girl,Grade_6_Enrollment_Total,Grade_6_Enrollment_Girl,Grade_6_Repeaters_Total,Grade_6_Repeaters_Girl,Grade_7_Enrollment_Total,Grade_7_Enrollment_Girl,Grade_7_Repeaters_Total,Grade_7_Repeaters_Girl,Grade_8_Enrollment_Total,Grade_8_Enrollment_Girl,Grade_8_Repeaters_Total,Grade_8_Repeaters_Girl,Grade_9_Enrollment_Total,Grade_9_Enrollment_Girl,Grade_9_Repeaters_Total,Grade_9_Repeaters_Girl,Grade_10_Enrollment_Total,Grade_10_Enrollment_Girl,Grade_10_Repeaters_Total,Grade_10_Repeaters_Girl,Grade_11_Enrollment_Total,Grade_11_Enrollment_Girl,Grade_11_Repeaters_Total,Grade_11_Repeaters_Girl,Grade_12_Enrollment_Total,Grade_12_Enrollment_Girl,Grade_12_Repeaters_Total,Grade_12_Repeaters_Girl,Total_Enrollment_Total,Total_Enrollment_Girl,Total_Repeaters_Total,Total_Repeaters_Girl,T_Primary,T_LSec,T_USec,T_Graduate,Total_PostGrad,Total_PhD,NT_Primary,Female_LSec,Female_USec,Female_Graduate,Female_PostGrad,Female_PhD,NoPed_Primary,NoPedTrain_LSec,NoPedTrain_USec,NoPedTrain_Graduate,NoPedTrain_PostGrad,NoPedTrain_PhD,Grade_1_Promotion,Grade_1_Repetition,Grade_1_Dropout,Grade_2_Promotion,Grade_2_Repetition,Grade_2_Dropout,Grade_3_Promotion,Grade_3_Repetition,Grade_3_Dropout,Grade_4_Promotion,Grade_4_Repetition,Grade_4_Dropout,Grade_5_Promotion,Grade_5_Repetition,Grade_5_Dropout,Grade_6_Promotion,Grade_6_Repetition,Grade_6_Dropout,Grade_7_Promotion,Grade_7_Repetition,Grade_7_Dropout,Grade_8_Promotion,Grade_8_Repetition,Grade_8_Dropout,Grade_9_Promotion,Grade_9_Repetition,Grade_9_Dropout,Grade_10_Promotion,Grade_10_Repetition,Grade_10_Dropout,Grade_11_Promotion,Grade_11_Repetition,Grade_11_Dropout,Grade_12_Promotion,Grade_12_Repetition,Grade_12_Dropout
Siemreap,2018,102,651,15204,7437,1037,699,267,181,462,200,143,98,1136,571,1595,747,38,15,1139,546,13,5,907,433,6,1,953,473,7,4,836,390,9,3,767,365,5,2,583,287,8,3,534,262,6,4,440,214,5,1,369,159,2,0,299,166,0,0,252,130,7,7,15204,7437,106,45,5,53,322,583,74,0,5,36,246,372,40,0,1,4,25,25,1,0,70.8,2.4,26.8,79.4,1.1,19.4,99.3,0.7,0.0,87.7,0.7,11.6,91.6,1.1,7.3,75.9,0.6,23.5,91.5,1.4,7.1,82.2,1.1,16.7,83.7,1.1,15.2,81.0,0.5,18.5,84.3,0.0,15.7,65.9,2.8,31.3
Stung Treng,2018,4,15,283,132,17,10,2,2,0,6,6,5,16,15,47,22,6,3,36,14,3,2,27,5,1,0,18,9,0,0,13,6,0,0,13,6,0,0,5,1,0,0,2,1,0,0,1,1,0,0,6,4,0,0,2,1,0,0,5,2,0,0,283,132,10,5,0,3,10,4,0,0,0,3,4,3,0,0,0,3,3,0,0,0,75.0,12.8,12.2,73.5,8.3,18.2,65.5,3.7,30.8,72.2,0.0,27.8,100.0,0.0,0.0,38.5,0.0,61.5,40.0,0.0,60.0,50.0,0.0,50.0,100.0,0.0,0.0,33.3,0.0,66.7,100.0,0.0,0.0,33.3,0.0,66.7
Svay Rieng,2018,6,16,304,141,30,28,4,1,1,15,15,7,74,13,72,34,0,0,45,21,0,0,21,11,0,0,19,7,0,0,20,9,0,0,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,141,0,0,0,3,6,21,0,0,0,3,4,21,0,0,0,0,1,0,0,0,62.5,0.0,37.5,46.7,0.0,53.3,90.5,0.0,9.5,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,
Takeo,2018,24,119,2860,1336,241,99,81,44,79,0,0,39,272,119,477,238,8,1,356,172,2,1,286,141,1,0,230,101,0,0,174,69,1,0,117,46,2,0,144,58,5,3,132,50,1,0,104,47,0,0,73,28,1,0,101,58,2,1,73,46,0,0,2860,1336,23,6,2,13,78,116,32,0,2,5,34,49,9,0,0,1,7,13,0,0,74.2,1.7,24.1,80.2,0.6,19.2,80.3,0.4,19.3,75.6,0.0,24.4,67.0,0.6,32.4,98.3,1.7,0.0,91.5,3.5,5.0,78.6,0.8,20.6,70.2,0.0,29.8,98.6,1.4,0.0,71.7,2.0,26.3,73.7,0.0,26.3
Tbaung Khmum,2018,27,132,4308,2626,232,135,52,24,24,29,24,38,297,122,454,235,24,9,355,179,12,5,291,151,14,4,356,205,17,12,243,150,8,6,238,143,6,3,447,324,0,0,281,232,1,0,187,153,2,2,125,98,0,0,116,95,0,0,108,72,15,6,4308,2626,99,47,3,5,79,139,6,0,3,2,59,71,0,0,0,0,10,42,0,0,77.3,5.3,17.4,81.4,3.4,15.2,95.2,4.8,0.0,66.9,4.8,28.3,96.7,3.3,0.0,97.5,2.5,0.0,62.9,0.0,37.1,66.4,0.4,33.2,66.5,1.1,32.4,92.8,0.0,7.2,93.1,0.0,6.9,72.5,13.9,13.6
Banteay Meanchey,2019,133,947,23316,11458,1204,659,232,117,495,33,17,119,1585,794,3044,1434,147,45,2954,1367,53,14,2543,1288,48,23,2149,1045,28,16,1910,941,16,6,1659,826,6,2,1358,756,1,0,1169,572,3,0,871,401,12,3,667,332,3,1,558,288,0,0,417,205,6,3,23316,11458,323,113,1,40,512,632,19,0,1,30,304,320,4,0,0,6,60,55,1,0,95.2,4.8,0.0,85.9,1.8,12.3,84.2,1.9,13.9,88.8,1.3,10.0,86.8,0.8,12.4,81.8,0.4,17.8,86.0,0.1,13.8,74.4,0.3,25.3,76.2,1.4,22.4,83.6,0.4,16.0,74.7,0.0,25.3,61.4,1.4,37.2
Battambang,2019,52,407,8992,4373,785,458,255,147,427,37,26,72,662,408,925,434,43,16,752,360,15,4,676,309,4,2,553,246,4,0,534,260,2,0,526,250,6,1,500,248,10,4,499,258,8,2,489,235,16,9,504,261,5,1,469,253,3,1,495,251,25,6,8992,4373,141,46,18,34,174,500,59,0,7,17,127,288,19,0,0,1,9,45,0,0,80.7,4.6,14.7,89.7,2.0,8.3,81.7,0.6,17.7,96.6,0.7,2.7,98.5,0.4,1.1,95.0,1.1,3.8,98.0,2.0,0.0,98.0,1.6,0.4,96.7,3.3,0.0,93.0,1.0,6.0,99.4,0.6,0.0,89.0,5.0,6.0
Kampong Cham,2019,29,208,4770,2357,275,158,56,23,80,7,6,45,416,206,504,251,23,12,509,234,17,5,412,165,9,0,358,170,2,1,408,191,0,0,407,204,5,2,203,102,7,3,155,74,2,0,133,75,0,0,102,46,0,0,59,32,0,0,58,27,0,0,4770,2357,65,23,3,9,88,174,1,0,1,4,64,88,1,0,0,0,8,10,0,0,95.4,4.6,0.0,80.4,3.3,16.3,86.6,2.2,11.2,99.4,0.6,0.0,99.8,0.0,0.2,49.3,1.2,49.5,75.7,3.4,20.9,85.6,1.3,13.1,76.7,0.0,23.3,57.8,0.0,42.2,98.3,0.0,1.7,56.9,0.0,43.1
Kampong Chhnang,2019,25,181,4256,1940,324,209,76,42,143,9,7,36,340,179,514,240,11,5,423,231,8,3,381,173,2,0,239,117,0,0,248,111,1,0,236,97,0,0,225,92,1,0,171,68,0,0,151,57,2,2,131,44,2,0,96,31,0,0,117,51,3,1,4256,1940,30,11,0,11,142,156,15,0,0,6,103,93,7,0,0,3,43,3,1,0,82.0,2.1,15.9,89.9,1.9,8.2,62.6,0.5,36.9,100.0,0.0,0.0,95.2,0.4,4.4,95.3,0.0,4.7,75.9,0.4,23.7,88.3,0.0,11.7,86.6,1.3,12.1,72.9,1.5,25.6,100.0,0.0,0.0,71.8,2.6,25.6
Kampong Speu,2019,64,361,8260,4272,596,348,155,55,108,39,29,86,710,325,1376,703,51,17,935,469,35,11,683,326,20,4,530,259,13,2,588,308,15,5,402,210,6,3,289,176,8,3,234,115,2,1,166,83,0,0,74,45,1,0,84,49,0,0,42,26,0,0,8260,4272,151,46,3,9,186,362,36,0,3,6,131,199,9,0,1,0,11,35,12,0,66.9,3.7,29.4,72.2,3.7,24.1,77.0,2.9,20.1,97.6,2.4,0.0,67.6,2.6,29.8,71.5,1.5,27.0,80.5,2.8,16.7,70.8,0.8,28.4,44.6,0.0,55.4,98.6,1.4,0.0,50.0,0.0,50.0,50.0,0.0,50.0
