Province,Year,Schools,Classes,TeachStaff_Total,TeachStaff_Female,NonTeachStaff_Total,NonTeachStaff_Female,Grade_1_Enrollment_Total,Grade_1_Enrollment_Girl,Grade_1_Repeaters_Total,Grade_1_Repeaters_Girl,Grade_2_Enrollment_Total,Grade_2_Enrollment_Girl,Grade_2_Repeaters_Total,Grade_2_Repeaters_Girl,Grade_3_Enrollment_Total,Grade_3_Enrollment_Girl,Grade_3_Repeaters_Total,Grade_3_Repeaters_Girl,Grade_4_Enrollment_Total,Grade_4_Enrollment_Girl,Grade_4_Repeaters_Total,Grade_4_Repeaters_Girl,Grade_5_Enrollment_Total,Grade_5_Enrollment_Girl,Grade_5_Repeaters_Total,Grade_5_Repeaters_Girl,Grade_6_Enrollment_Total,Grade_6_Enrollment_Girl,Grade_6_Repeaters_Total,Grade_6_Repeaters_Girl,Grade_7_Enrollment_Total,Grade_7_Enrollment_Girl,Grade_7_Repeaters_Total,Grade_7_Repeaters_Girl,Grade_8_Enrollment_Total,Grade_8_Enrollment_Girl,Grade_8_Repeaters_Total,Grade_8_Repeaters_Girl,Grade_9_Enrollment_Total,Grade_9_Enrollment_Girl,Grade_9_Repeaters_Total,Grade_9_Repeaters_Girl,Grade_10_Enrollment_Total,Grade_10_Enrollment_Girl,Grade_10_Repeaters_Total,Grade_10_Repeaters_Girl,Grade_11_Enrollment_Total,Grade_11_Enrollment_Girl,Grade_11_Repeaters_Total,Grade_11_Repeaters_Girl,Grade_12_Enrollment_Total,Grade_12_Enrollment_Girl,Grade_12_Repeaters_Total,Grade_12_Repeaters_Girl,Total_Enrollment_Total,Total_Enrollment_Girl,Total_Repeaters_Total,Total_Repeaters_Girl,T_Primary,T_LSec,T_USec,T_Graduate,T_PostGrad,T_PhD,Grade_1_Dropout,Grade_2_Dropout,Grade_3_Dropout,Grade_4_Dropout,Grade_5_Dropout,Grade_6_Dropout,Grade_7_Dropout,Grade_8_Dropout,Grade_9_Dropout,Grade_10_Dropout,Grade_11_Dropout,Grade_12_Dropout
Kampong Thom,2020,800,4920,4463,2526,828,218,20594,9975,3077,1254,19597,9108,1580,578,17053,8140,1347,478,16157,9508,864,315,14283,9443,566,189,13610,6983,426,139,11644,6234,85,34,10016,5484,47,9,8662,4605,107,34,6441,3703,26,4,5743,3162,9,2,4964,2818,90,32,148764,79163,8224,3068,129,670,1996,1546,122,0,3.7,5.1,5.3,7.4,8.4,30.4,14.8,15.7,25.5,13.9,8.3,39.2
Kampot,2020,612,4710,4740,2374,998,226,14818,6860,1593,631,13809,6571,860,278,12471,5798,600,181,11982,5751,422,153,11282,5425,285,86,11154,5394,260,79,10392,5331,143,56,9057,4815,72,32,7982,4156,199,51,5526,2953,43,17,5312,2788,34,18,4629,2473,102,44,118414,58315,4613,1626,83,799,2303,1482,73,0,4.5,3.9,4.4,5.6,5.2,16.2,11.3,14.4,24.0,14.3,9.4,36.9
Kandal,2020,761,6810,7299,4114,1516,402,31962,14772,5786,2239,29303,13751,3874,1452,27449,12960,3247,1215,25903,12553,2570,910,24049,11469,1989,670,23034,11198,1344,491,20965,10761,193,79,18850,9905,199,76,15976,8308,186,47,11393,6220,77,28,10235,5614,33,8,8845,4970,163,71,247964,122481,19661,7286,274,1343,2870,2611,201,0,2.7,3.0,3.4,3.7,5.0,3.9,9.8,10.1,14.7,11.7,10.4,34.6
Kep,2020,50,300,476,258,97,19,1079,499,136,51,1055,508,78,23,948,466,40,12,881,423,21,4,798,381,21,7,720,344,9,2,646,367,4,1,571,290,3,0,516,261,37,10,329,184,0,0,335,184,0,0,319,153,1,1,8197,4060,350,111,0,23,266,177,10,0,4.7,2.4,6.0,9.0,8.7,15.2,10.3,9.4,11.3,8.2,5.9,15.0
Koh Kong,2020,223,1204,1199,578,186,53,3590,1763,366,154,3371,1571,233,88,2816,1330,123,44,2628,1259,61,21,2438,1178,69,25,2362,1144,35,9,2144,1085,21,9,1873,1008,25,7,1690,841,46,12,1243,643,4,1,1048,540,1,0,840,438,11,6,26043,12800,995,376,13,186,783,215,2,0,5.0,8.8,5.9,10.7,6.5,31.8,10.6,9.9,27.3,12.9,9.6,36.7
Kratie,2020,446,2993,2696,1706,404,144,13526,6401,2434,1003,12639,6112,1440,552,10818,5547,1003,400,10237,5906,742,275,8909,5192,454,167,7875,4050,304,135,5908,3239,50,16,4668,2535,24,4,3804,2013,104,26,2515,1414,1,1,2193,1240,1,1,1948,1052,23,11,85040,44701,6580,2591,36,625,1635,376,24,0,4.4,7.0,8.3,7.9,10.8,30.1,18.1,17.4,27.0,14.1,7.8,29.7
Mondul Kiri,2020,132,862,937,484,68,12,3166,1515,356,151,2861,1395,264,87,2654,1411,218,97,2457,1321,85,36,2170,1166,86,27,1917,1051,52,11,1562,793,27,3,1166,639,19,2,993,529,33,15,744,400,5,3,669,364,1,0,504,277,15,7,20863,10861,1161,439,59,210,577,87,4,0,6.5,6.2,5.8,5.7,11.2,15.4,13.5,12.7,12.2,8.2,8.6,14.4
Otdar Meanchey,2020,366,2090,1641,767,349,87,8162,3768,1255,471,7126,3281,750,277,6572,3080,532,187,5880,2735,386,139,5386,2702,203,85,4916,2514,116,45,4239,2248,84,37,3564,1916,50,14,2938,1615,53,14,2126,1087,41,15,1763,938,19,10,1460,779,58,24,54132,26663,3547,1318,111,340,903,276,11,0,6.4,6.3,6.7,7.3,8.6,35.8,13.8,14.3,24.5,16.5,11.5,7.6
Pailin,2020,82,540,669,355,95,30,2114,1015,341,131,1716,811,159,66,1705,839,138,55,1593,774,93,39,1441,737,83,31,1312,652,18,10,1354,714,20,4,1203,631,9,2,1007,553,47,21,696,417,15,5,649,351,5,1,513,288,19,10,15303,7782,947,375,12,75,366,210,6,0,8.1,6.9,6.8,11.0,9.1,33.1,15.2,15.5,23.3,13.2,10.9,24.4
Phnom Penh,2020,380,5707,9242,5332,1170,453,27221,12592,2802,1117,23087,11019,1684,665,22053,10201,1287,462,22636,10941,931,356,20740,10032,583,199,19818,9527,407,155,20889,10281,259,119,19952,9921,318,144,18114,9050,488,176,13448,6896,30,15,13790,6988,17,5,13865,6958,664,286,235613,114406,9470,3699,345,1254,3330,3742,563,8,8.9,4.7,5.1,5.3,5.1,32.8,5.5,2.8,32.7,4.0,,43.6
Preah Sihanouk,2020,159,1252,1658,856,272,81,6219,2900,941,395,5248,2491,590,244,4753,2251,355,142,4332,2086,258,85,4032,1981,139,32,3656,1817,136,41,3587,1870,55,15,2979,1541,18,8,2652,1284,81,31,1798,965,6,2,1651,844,1,0,1372,741,12,3,42279,20771,2592,998,44,179,948,449,38,0,6.8,5.9,7.5,5.5,7.9,20.4,11.0,10.3,20.2,10.9,10.6,21.2
Preah Vihear,2020,411,2228,2178,1139,350,109,8149,3908,1792,748,7142,3513,957,381,6755,3193,684,282,5957,3012,441,158,5198,2650,246,98,4704,2466,113,37,4110,2185,24,7,3480,1938,8,1,3081,1710,18,9,2286,1296,13,9,1857,1014,1,0,1561,861,14,7,54280,27746,4311,1737,96,312,1353,384,33,0,6.6,5.0,6.8,8.7,8.3,18.6,13.9,12.1,17.9,19.4,12.3,39.5
Prey Veng,2020,1071,6884,5860,2826,1926,504,27569,12717,3678,1440,26244,12069,2346,847,24337,11298,2076,693,23802,11119,1579,534,23661,11070,1261,437,23118,11147,959,303,19676,10175,35,16,16992,8931,17,8,14153,7425,150,63,9818,5310,15,3,8395,4498,15,10,7503,4135,201,85,225268,109894,12332,4439,252,1338,2028,2138,96,1,2.8,2.4,3.0,3.6,4.2,22.4,11.1,13.7,35.0,15.6,9.6,40.1
Pursat,2020,551,3355,3140,1585,735,205,14645,6862,2586,1074,15203,8279,1408,550,11668,5810,1129,452,10882,5956,677,233,10156,6233,491,163,9534,4876,322,99,7979,4304,12,5,6750,3663,12,4,5811,3068,39,17,4157,2345,0,0,3601,1926,0,0,3062,1678,111,49,103448,55000,6787,2646,62,632,1608,782,55,1,3.6,6.1,4.2,6.4,6.5,20.6,12.2,13.4,19.5,12.5,8.2,30.2
Ratanak Kiri,2020,328,1967,1430,699,142,43,7631,3713,736,321,7369,3474,503,207,6939,3327,384,141,6513,3188,281,118,6002,3158,174,72,5205,2664,116,40,3795,1912,5,1,3021,1657,1,1,2519,1276,71,22,1789,889,6,4,1643,825,0,0,1303,663,17,7,53729,26746,2294,934,69,320,774,259,8,0,9.8,7.7,8.4,10.6,12.5,30.8,15.4,10.0,38.0,17.4,11.2,19.1
Siemreap,2020,1109,7625,5943,3759,1758,734,34550,16027,6005,2321,30146,15413,3428,1248,27342,12964,2573,853,25934,13054,1714,537,24001,12472,1400,476,23049,11687,874,271,20759,11164,525,167,17794,9855,348,141,15240,8442,317,92,11788,6806,134,46,10630,5949,87,33,9022,5271,165,102,250255,129104,17570,6287,180,737,3136,1736,153,1,5.2,5.6,4.9,6.3,7.2,29.0,11.6,11.2,29.1,11.3,7.3,35.2
Stung Treng,2020,259,1782,1411,787,194,57,6482,3103,1469,641,5398,2542,806,343,4832,2398,522,230,4185,2208,361,144,3701,2059,223,89,3283,1729,142,68,2371,1298,18,6,1939,1051,9,2,1594,804,13,5,1055,572,1,1,1003,567,1,0,801,423,11,3,36644,18754,3576,1532,62,276,901,173,4,0,5.6,6.4,7.6,8.8,8.9,49.0,19.8,12.9,33.3,11.8,5.2,13.6
Svay Rieng,2020,511,3568,3747,1499,971,221,14565,6866,1664,633,14123,6426,868,299,12580,6102,639,211,11848,5643,545,175,11257,5458,368,112,11069,5433,288,87,10601,5413,50,17,8648,4414,25,8,7091,3454,65,16,4743,2492,1,0,4169,2138,2,0,3740,1980,45,16,114434,55819,4560,1574,54,479,1865,1290,59,0,2.5,3.2,2.8,3.2,4.3,23.1,13.7,18.7,39.4,18.2,12.6,48.2
Takeo,2020,802,5907,6486,2754,1771,393,21344,9958,2696,1027,20503,9666,1819,634,18695,8914,1507,526,18210,8682,1137,408,17550,8460,941,299,17600,8559,791,216,16847,8623,208,95,15317,7900,289,131,13436,6869,165,47,10057,5271,38,20,9788,5090,29,18,8633,4623,188,101,187980,92615,9808,3522,122,802,3039,2392,130,1,2.1,2.6,2.7,3.0,3.4,10.3,6.9,9.3,20.9,10.4,10.4,32.5
Tbaung Khmum,2020,723,4891,3904,2197,915,271,21338,9970,3249,1301,20082,9583,2116,791,18704,8795,1605,597,17816,8643,1119,403,16536,8241,857,314,14992,7449,518,179,12657,6778,125,43,10489,5616,66,25,8828,4827,245,100,5787,3264,31,12,5266,2945,18,8,4370,2468,124,55,156865,78579,10073,3828,109,586,2039,1107,64,0,4.9,6.5,5.8,7.4,7.7,37.5,13.5,15.3,41.2,15.3,8.0,43.8
